Speaker,gloss1,total_freq
Anais,génial,1
Anais,genou,2
Anais,gentil,18
Anais,gentille,1
Anais,Ger,1
Anais,gigote,1
Anais,gigoter,1
Anais,gigotes,1
Anais,girafe,5
Anais,girafes,2
Anais,glace,3
Anais,glisse,3
Anais,glisser,2
Anais,glisses,3
Anais,gommette,3
Anais,gommettes,8
Anais,gonflé,4
Anais,gonfles,1
Anais,good@s:eng,1
Anais,goret,1
Anais,gosse,2
Anais,gourde,6
Anais,gourmand,1
Anais,goutte,2
Anais,grand,23
Anais,grand-chose,2
Anais,grand-frère,1
Anais,grand-mère,15
Anais,grande,25
Anais,grandes,1
Anais,grandit,1
Anais,grands,7
Anais,gratte,2
Anais,gratter,1
Anais,grave,6
Anais,graviers,1
Anais,grenadine,1
Anais,grenier,1
Anais,grenouille,29
Anais,grenouilles,1
Anais,gribouillés,1
Anais,griffée,1
Anais,griffure,1
Anais,grimpe,2
Anais,gris,1
Anais,groin,3
Anais,gros,35
Anais,grosse,7
Anais,grosses,1
Anais,grr,1
Anais,guéri,3
Anais,guerrier,1
Anais,guidon,2
Anais,guitare,2
Anais,h,1
Anais,habits,1
Anais,hah,6
Anais,ham,3
Anais,han,2
Anais,haut,7
Anais,haute,3
Anais,hauteur,1
Anais,hein,308
Anais,Hélène,4
Anais,hello@s:eng,1
Anais,herbe,1
Anais,hérisson,3
Anais,heuh,7
Anais,heure,3
Anais,heures,2
Anais,heureusement,2
Anais,hi+han,2
Anais,hibou,6
Anais,hier,4
Anais,hihan@o,1
Anais,hippopotame,11
Anais,hirondelle,1
Anais,histoire,3
Anais,histoires,1
Anais,hm,4
Anais,hof@o,1
Anais,hoh,11
Anais,hop,164
Anais,hop@i,1
Anais,hoplà,18
Anais,hoquet,8
Anais,hors,1
Anais,hotte,2
Anais,hou@i,9
Anais,houh,9
Anais,houp,8
Anais,huit,1
Anais,hum,18
Anais,humeur,1
Anais,ici,11
Anais,idée,8
Anais,ih,1
Anais,il,907
Anais,Il,1
Anais,ils,83
Anais,impatientes,1
Anais,important,1
Anais,installée,2
Anais,instant,1
Anais,interdit,2
Anais,intéressant,4
Anais,inventer,1
Anais,inventes,1
Anais,ira,1
Anais,iras,2
Anais,italien,4
Anais,j'adore,1
Anais,j'agrandi,1
Anais,j'ai,80
Anais,j'aille,7
Anais,j'aime,1
Anais,j'arrive,9
Anais,j'aurais,2
Anais,j'avais,4
Anais,j'efface,1
Anais,j'en,19
Anais,j'enlève,1
Anais,j'entends,1
Anais,j'essaye,3
Anais,j'essuie,1
Anais,j'étais,1
Anais,j'y,9
Anais,j@l,1
Anais,jamais,3
Anais,jambe,5
Anais,jambes,9
Anais,jappe,1
Anais,jaune,59
Anais,jaunes,3
Anais,je,618
Anais,jeté,3
Anais,jeter,4
Anais,jette,4
Anais,jettes,6
Anais,jeu,20
Anais,jeune,4
Anais,jeux,1
Anais,Jojo,3
Anais,joli,25
Anais,jolie,15
Anais,jolies,1
Anais,joue,15
Anais,joué,1
Anais,jouent,5
Anais,jouer,23
Anais,joues,6
Anais,jouet,3
Anais,jouets,4
Anais,jour,1
Anais,joyeux,1
Anais,Juliette,2
Anais,jungle,1
Anais,jupe,1
Anais,jus,2
Anais,jusqu'au,2
Anais,jusque,1
Anais,juste,9
Anais,Kaa,3
Anais,kaléidoscope,1
Anais,kangourou,6
Anais,kiki,1
Anais,koala,3
Anais,kruk@o,1
Anais,l'a,18
Anais,l'abeille,2
Anais,l'abîme,1
Anais,l'abîmer,3
Anais,l'abîmes,1
Anais,l'abricot,1
Anais,l'accrocher,1
Anais,l'accrochera,1
Anais,l'accroches,1
Anais,l'ai,12
Anais,l'aide,1
Anais,l'aider,1
Anais,l'aimant,1
Anais,l'air,7
Anais,l'amande,1
Anais,l'amener,2
Anais,l'amènes,1
Anais,l'andouille,1
Anais,l'âne,4
Anais,l'ange,3
Anais,l'anniversaire,2
Anais,l'appareil,1
Anais,l'arbre,11
Anais,l'ardoise,1
Anais,l'arnica,6
Anais,l'as,79
Anais,l'aspirateur,3
Anais,l'asseois,1
Anais,l'assiette,1
Anais,l'assois,1
Anais,l'asticot,1
Anais,l'atelier,1
Anais,l'attirail,1
Anais,l'attraper,1
Anais,l'aurait,1
Anais,l'autocollant,1
Anais,l'autre,147
Anais,l'avais,3
Anais,l'avait,2
Anais,l'avez,5
Anais,l'avion,1
Anais,l'ayez,1
Anais,l'eau,15
Anais,l'écharpe,2
Anais,l'échelle,1
Anais,l'école,11
Anais,l'écureuil,3
Anais,l'élastique,5
Anais,l'élément,1
Anais,l'éléphant,23
Anais,l'emmène,3
Anais,l'emmènes,2
Anais,l'endroit,1
Anais,l'enlève,7
Anais,l'enlever,8
Anais,l'enlèvera,1
Anais,l'enlèves,2
Anais,l'entends,1
Anais,l'envers,18
Anais,l'épée,3
Anais,l'éponge,2
Anais,l'épouvantail,1
Anais,l'escargot,3
Anais,l'esprit,1
Anais,l'essuyer,1
Anais,l'est,1
Anais,l'été,1
Anais,l'éteignais,1
Anais,l'éteindre,1
Anais,l'étoile,12
Anais,l'exercice,1
Anais,l'herbe,2
Anais,l'heure,1
Anais,l'hippopotame,5
Anais,l'histoire,6
Anais,l'image,1
Anais,l'instant,3
Anais,l'oeil,4
Anais,l'oiseau,22
Anais,l'ombre,4
Anais,l'ombrelle,1
Anais,l'orange,2
